eft_id,description
218,FDRL/INTERNAL FUND TRANSFE
219,INDO GIBL Indiaforensic STL04011
220,INDO GIBL Indiaforensic STL05011
221,INDO GIBL Indiaforensic STL06011
222,INDO GIBL Indiaforensic STL07011
223,INDO GIBL Indiaforensic STL08011
224,FDRL/INTERNAL FUND TRANSFE
225,INDO GIBL Indiaforensic STL09011
226,INDO GIBL Indiaforensic STL10011
227,FDRL/INTERNAL FUND TRANSFE
228,FDRL/INTERNAL FUND TRANSFE
229,FDRL/INTERNAL FUND TRANSFE
230,FDRL/INTERNAL FUND TRANSFE
231,INDO GIBL Indiaforensic STL14011
232,INDO GIBL Indiaforensic STL11011
233,INDO GIBL Indiaforensic STL13011
234,INDO GIBL Indiaforensic STL12011
235,INDO GIBL Indiaforensic STL15011
236,INDO GIBL Indiaforensic STL16011
237,INDO GIBL Indiaforensic STL19011
238,FDRL/INTERNAL FUND TRANSFE
239,FDRL/INTERNAL FUND TRANSFE
240,INDO GIBL Indiaforensic STL22011
241,INDO GIBL Indiaforensic STL20011
242,INDO GIBL Indiaforensic STL21011
243,INDO GIBL Indiaforensic STL18011
244,INDO GIBL Indiaforensic STL23011
245,FDRL/INTERNAL FUND TRANSFE
246,FDRL/INTERNAL FUND TRANSFE
247,FDRL/INTERNAL FUND TRANSFE
248,INDO GIBL Indiaforensic STL25011
249,INDO GIBL Indiaforensic STL26011
250,INDO GIBL Indiaforensic STL27011
251,INDO GIBL Indiaforensic STL28011
252,INDO GIBL Indiaforensic STL24011
253,INDO GIBL Indiaforensic STL17011
254,INDO GIBL Indiaforensic STL29011
255,INDO GIBL Indiaforensic STL30011
256,INDO GIBL Indiaforensic STL31011
257,FDRL/INTERNAL FUND TRANSFE
258,FDRL/INTERNAL FUND TRANSFE
259,FDRL/INTERNAL FUND TRANSFE
260,INDO GIBL Indiaforensic STL02021
261,INDO GIBL Indiaforensic STL01021
262,INDO GIBL Indiaforensic STL03021
263,INDO GIBL Indiaforensic STL05021
264,INDO GIBL Indiaforensic STL06021
265,FDRL/INTERNAL FUND TRANSFE
266,FDRL/INTERNAL FUND TRANSFE
267,INDO GIBL Indiaforensic STL07021
268,INDO GIBL Indiaforensic STL08021
269,INDO GIBL Indiaforensic STL09021
270,INDO GIBL Indiaforensic STL10021
271,INDO GIBL Indiaforensic STL13021
272,INDO GIBL Indiaforensic STL14021
273,FDRL/INTERNAL FUND TRANSFE
274,FDRL/INTERNAL FUND TRANSFE
275,FDRL/INTERNAL FUND TRANSFE
276,INDO GIBL Indiaforensic STL12021
277,INDO GIBL Indiaforensic STL15021
278,FDRL/INTERNAL FUND TRANSFE
279,INDO GIBL Indiaforensic STL16021
280,INDO GIBL Indiaforensic STL17021
281,FDRL/INTERNAL FUND TRANSFE
282,FDRL/INTERNAL FUND TRANSFE
283,INDO GIBL Indiaforensic STL18021
284,INDO GIBL Indiaforensic STL19021
285,INDO GIBL Indiaforensic STL20021
286,FDRL/INTERNAL FUND TRANSFE
287,FDRL/INTERNAL FUND TRANSFE
288,INDO GIBL Indiaforensic STL21021
289,INDO GIBL Indiaforensic STL22021
290,INDO GIBL Indiaforensic STL23021
291,INDO GIBL Indiaforensic STL24021
292,INDO GIBL Indiaforensic STL25021
293,FDRL/INTERNAL FUND TRANSFE
294,FDRL/INTERNAL FUND TRANSFE
295,INDO GIBL Indiaforensic STL26021
296,INDO GIBL Indiaforensic STL27021
297,FDRL/INTERNAL FUND TRANSFE
298,FDRL/INTERNAL FUND TRANSFE
299,INDO GIBL Indiaforensic STL03031
300,INDO GIBL Indiaforensic STL28021
301,INDO GIBL Indiaforensic STL01031
302,INDO GIBL Indiaforensic STL03031
303,INDO GIBL Indiaforensic STL05031
304,INDO GIBL Indiaforensic STL06031
305,INDO GIBL Indiaforensic STL07031
306,INDO GIBL Indiaforensic STL08031
307,FDRL/INTERNAL FUND TRANSFE
308,FDRL/INTERNAL FUND TRANSFE
309,INDO GIBL Indiaforensic STL09031
310,INDO GIBL Indiaforensic STL1003
311,INDO GIBL Indiaforensic STL11031
312,FDRL/INTERNAL FUND TRANSFE
313,FDRL/INTERNAL FUND TRANSFE
314,INDO GIBL Indiaforensic STL12031
315,INDO GIBL Indiaforensic STL13031
316,FDRL/INTERNAL FUND TRANSFE
317,FDRL/INTERNAL FUND TRANSFE
318,INDO GIBL Indiaforensic STL14031
319,INDO GIBL Indiaforensic STL15031
320,FDRL/INTERNAL FUND TRANSFE
321,INDO GIBL Indiaforensic STL16031
322,INDO GIBL Indiaforensic STL17031
323,INDO GIBL Indiaforensic STL18031
324,INDO GIBL Indiaforensic STL19031
325,FDRL/INTERNAL FUND TRANSFE
326,Indfor INCM INDO REVREMI0303
327,INDO GIBLOXGN REVSTL03031
328,Indfor INCM INDO REVREMI0103
329,INDO GIBL Indiaforensic STL01031
330,INDO GIBL Indiaforensic STL20031
331,INDO GIBL Indiaforensic STL21031
332,FDRL/INTERNAL FUND TRANSFE
333,FDRL/INTERNAL FUND TRANSFE
334,INDO GIBL Indiaforensic STL22031
335,FDRL/INTERNAL FUND TRANSFE
336,INDO GIBL Indiaforensic STL23031
337,INDO GIBL Indiaforensic STL24031
338,INDO GIBL Indiaforensic STL25031
339,INDO GIBL Indiaforensic STL26031
340,INDO GIBL Indiaforensic STL27031
341,INDO GIBL Indiaforensic STL28031
342,INDO GIBL Indiaforensic STL29031
343,INDO GIBL Indiaforensic STL30031
344,FDRL/INTERNAL FUND TRANSFE
345,FDRL/INTERNAL FUND TRANSFE
346,FDRL/INTERNAL FUND TRANSFE
347,INDO GIBL Indiaforensic STL31031
348,INDO GIBL Indiaforensic STL01041
349,INDO GIBL Indiaforensic STL02041
350,INDO GIBL Indiaforensic STL03041
351,INDO GIBL Indiaforensic STL04041
352,INDO GIBL Indiaforensic STL05041
353,INDO GIBL Indiaforensic STL06041
354,INDO GIBL Indiaforensic STL07041
355,FDRL/INTERNAL FUND TRANSFE
356,INDO GIBL Indiaforensic STL09041
357,FDRL/INTERNAL FUND TRANSFE
358,INDO GIBL Indiaforensic STL10041
359,INDO GIBL Indiaforensic STL11041
360,FDRL/INTERNAL FUND TRANSFE
361,INDO GIBL Indiaforensic STL12041
362,FDRL/INTERNAL FUND TRANSFE
363,FDRL/INTERNAL FUND TRANSFE
364,INDO GIBL Indiaforensic STL13041
365,INDO GIBL Indiaforensic STL14041
366,INDO GIBL Indiaforensic STL15041
367,INDO GIBL Indiaforensic STL16041
368,FDRL/INTERNAL FUND TRANSFE
369,INDO GIBL Indiaforensic STL17041
370,INDO GIBL Indiaforensic STL18041
371,FDRL/INTERNAL FUND TRANSFE
372,INDO GIBL Indiaforensic STL19041
373,INDO GIBL Indiaforensic STL20041
374,FDRL/INTERNAL FUND TRANSFE
375,FDRL/INTERNAL FUND TRANSFE
376,INDO GIBL Indiaforensic STL21041
377,INDO GIBL Indiaforensic STL22041
378,INDO GIBL Indiaforensic STL23041
379,INDO GIBL Indiaforensic STL24041
380,FDRL/INTERNAL FUND TRANSFE
381,FDRL/INTERNAL FUND TRANSFE
382,INDO GIBL Indiaforensic STL25041
383,INDO GIBL Indiaforensic STL26041
384,FDRL/INTERNAL FUND TRANSFE
385,FDRL/INTERNAL FUND TRANSFE
386,INDO GIBL Indiaforensic STL27041
387,INDO GIBL Indiaforensic STL28041
388,INDO GIBL Indiaforensic STL29041
389,INDO GIBL Indiaforensic STL30041
390,INDO GIBL Indiaforensic STL01051
391,FDRL/INTERNAL FUND TRANSFE
392,INDO GIBL Indiaforensic STL02051
393,FDRL/INTERNAL FUND TRANSFE
394,INDO GIBL Indiaforensic STL03051
395,INDO GIBL Indiaforensic STL04051
396,INDO GIBL Indiaforensic STL05051
397,INDO GIBL Indiaforensic STL06051
398,FDRL/INTERNAL FUND TRANSFE
399,INDO GIBL Indiaforensic STL07051
400,INDO GIBL Indiaforensic STL08051
401,FDRL/INTERNAL FUND TRANSFE
402,FDRL/INTERNAL FUND TRANSFE
403,INDO GIBL Indiaforensic STL09051
404,INDO GIBL Indiaforensic STL10051
405,FDRL/INTERNAL FUND TRANSFE
406,INDO GIBL Indiaforensic STL11051
407,INDO GIBL Indiaforensic STL12051
408,INDO GIBL Indiaforensic STL13051
409,FDRL/INTERNAL FUND TRANSFE
410,INDO GIBL Indiaforensic STL14051
411,FDRL/INTERNAL FUND TRANSFE
412,FDRL/INTERNAL FUND TRANSFE
413,INDO GIBL Indiaforensic STL15051
414,FDRL/INTERNAL FUND TRANSFE
415,INDO GIBL Indiaforensic STL16051
416,FDRL/INTERNAL FUND TRANSFE
417,INDO GIBL Indiaforensic STL17051
418,FDRL/INTERNAL FUND TRANSFE
419,INDO GIBL Indiaforensic STL18051
420,INDO GIBL Indiaforensic STL19051
421,INDO GIBL Indiaforensic STL20051
422,FDRL/INTERNAL FUND TRANSFE
423,INDO GIBL Indiaforensic STL21051
424,FDRL/INTERNAL FUND TRANSFE
425,INDO GIBL Indiaforensic STL22051
426,INDO GIBL Indiaforensic STL23051
427,FDRL/INTERNAL FUND TRANSFE
428,INDO GIBL Indiaforensic STL24051
429,INDO GIBL Indiaforensic STL25051
430,INDO GIBL Indiaforensic STL26051
431,INDO GIBL Indiaforensic STL27051
432,FDRL/INTERNAL FUND TRANSFE
433,INDO GIBL Indiaforensic STL28051
434,INDO GIBL Indiaforensic STL29051
435,FDRL/INTERNAL FUND TRANSFE
436,INDO GIBL Indiaforensic STL30051
437,FDRL/INTERNAL FUND TRANSFE
438,INDO GIBL Indiaforensic STL31051
439,INDO GIBL Indiaforensic STL01061
440,FDRL/INTERNAL FUND TRANSFE
441,INDO GIBL Indiaforensic STL02061
442,INDO GIBL Indiaforensic STL04061
443,INDO GIBL Indiaforensic STL05061
444,FDRL/INTERNAL FUND TRANSFE
445,FDRL/INTERNAL FUND TRANSFE
446,INDO GIBL Indiaforensic STL06061
447,INDO GIBL Indiaforensic STL07061
448,FDRL/INTERNAL FUND TRANSFE
449,FDRL/INTERNAL FUND TRANSFE
450,INDO GIBL Indiaforensic STL08061
451,INDO GIBL Indiaforensic STL09061
452,INDO GIBL Indiaforensic STL10061
453,FDRL/INTERNAL FUND TRANSFE
454,FDRL/INTERNAL FUND TRANSFE
455,INDO GIBL Indiaforensic STL11061
456,FDRL/INTERNAL FUND TRANSFE
457,INDO GIBL Indiaforensic STL12061
458,INDO GIBL Indiaforensic STL27041
