eft_id,description,normalized_description,company_id,company_name,alias,candidate_source,candidate_filter_score,fuzzy_score,vector_score,acronym_score,rule_score,final_score,risk_level,reason
29568,EIH LTD THE OBEROI NEW DE,eih limited the oberoi new de,5,Delta Export Incorporated,de,token_index,0.9,0.6,0.3965,1.0,0.0,0.5689,Low Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik orta seviyede bulundu. Şirket acronym'i EFT açıklamasında bulundu.
26599,AEPS INC DT 28-01-2019 RO,aeps incorporated dt 28 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4709,0.0,0.0,0.5688,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26529,AEPS INC DT 22-01-2019 RO,aeps incorporated dt 22 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4702,0.0,0.0,0.5686,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26504,AEPS INC DT 19-01-2019 RO,aeps incorporated dt 19 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4695,0.0,0.0,0.5684,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26453,AEPS INC DT 16-01-2019 RO,aeps incorporated dt 16 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4687,0.0,0.0,0.5681,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
25995,AEPS INC DT 09-12-2018 RO,aeps incorporated dt 09 12 2018 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4686,0.0,0.0,0.5681,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
21455,AEPS GST INC DT 05-05-201,aeps gst incorporated dt 05 05 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.468,0.0,0.0,0.5679,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26608,AEPS INC DT 29-01-2019 RO,aeps incorporated dt 29 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.468,0.0,0.0,0.5679,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26507,AEPS INC DT 20-01-2019 RO,aeps incorporated dt 20 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4677,0.0,0.0,0.5678,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26304,AEPS INC DT 01-04-2019 RO,aeps incorporated dt 01 04 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4678,0.0,0.0,0.5678,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
